"","logFC","logCPM","F","PValue","FDR"
"ENSG00000197860",0.793901386159767,4.62092985998608,65.9108151870789,1.98947334970599e-05,0.00216767607616264
"ENSG00000091527",0.762600021154423,7.83207638232679,65.8163755395074,2.00083512256298e-05,0.00216767607616264
"ENSG00000179820",1.4841085056292,7.46782636480684,65.7907380065666,2.00395660276679e-05,0.00216767607616264
"ENSG00000147119",1.54360148188275,4.41114071608677,65.5428916945592,2.03472008241577e-05,0.0021871969185918
"ENSG00000074590",1.35972155697975,4.27472178252832,65.2628876305565,2.06984725910055e-05,0.0021931422045186
"ENSG00000172831",-0.544052066024235,5.81188153155032,65.1964800028007,2.07799956044373e-05,0.0021931422045186
"ENSG00000112576",0.93643435645691,4.882877744832,65.1926421528459,2.07850560693373e-05,0.0021931422045186
"ENSG00000173110",-2.64423876653784,-0.456639274657252,60.6193706703589,2.1017939729517e-05,0.00220419235004855
"ENSG00000049246",-2.1839454394206,3.21496445599437,64.6776404663218,2.14762929666358e-05,0.00223861068323133
"ENSG00000116132",-0.770655007558688,8.02605814702242,64.3097510421469,2.19479648140079e-05,0.00227399425804892
"ENSG00000149218",1.95651141413566,6.566717154064,64.1696414398686,2.21398425102385e-05,0.00228013863074007
"ENSG00000167549",2.36153406625249,6.54625886216152,63.7762589820007,2.26895321225981e-05,0.00232284085105098
"ENSG00000196932",-2.06050204929843,1.73935612619336,63.5635057740172,2.31389998478391e-05,0.00233228193362293
"ENSG00000183508",-2.43118463700805,2.12240334398341,63.5192743009123,2.31809464824378e-05,0.00233228193362293
"ENSG00000149792",-0.545008090324207,5.00342989203346,63.3630112522089,2.32851590093446e-05,0.00233228193362293
"ENSG00000078053",1.14420524126628,4.07553849489306,63.3389369109204,2.33241753929382e-05,0.00233228193362293
"ENSG00000067082",1.10708535407314,7.24586331255971,63.1924171880226,2.35363531907262e-05,0.00233989444235433
"ENSG00000205208",-1.39020944023794,4.78903089219539,62.9724927362175,2.38677510186911e-05,0.00234636887289188
"ENSG00000124702",0.601859226209503,5.61366141830693,62.9665987834572,2.3874327156002e-05,0.00234636887289188
"ENSG00000012048",-1.21219044609499,3.38753813437264,62.8542791408059,2.4054620601228e-05,0.00234812033788465
"ENSG00000182197",-0.849401734273177,7.95274512083391,62.7752657188162,2.41652014538974e-05,0.00234812033788465
"ENSG00000124496",-0.840587152231498,4.50941155023354,62.6146492887414,2.44152237160138e-05,0.00234873144592813
"ENSG00000136997",0.842403638955191,5.12423636338267,62.5942694598969,2.44446147346436e-05,0.00234873144592813
"ENSG00000172465",1.03536767390964,4.21308670164628,62.2409986222285,2.50048806581132e-05,0.00238921634688272
"ENSG00000243742",-2.19381985504453,0.136699726699909,62.9164135839973,2.53242920606692e-05,0.0024063673986268
"ENSG00000165802",0.95508952376498,6.22917286914308,61.9013669947213,2.55506078329031e-05,0.0024094112073241
"ENSG00000114853",0.749001961686484,7.30547321852927,61.7564538925825,2.57895943992042e-05,0.0024094112073241
"ENSG00000119139",1.95321084693305,7.87817427052321,61.6304050955312,2.59997283123901e-05,0.0024094112073241
"ENSG00000134318",0.808506000965152,7.73075150678391,61.596733505358,2.60562108177848e-05,0.0024094112073241
"ENSG00000138316",-2.40346769692689,5.23186350376285,61.5988588712065,2.60567756591826e-05,0.0024094112073241
"ENSG00000182199",-0.706173411292444,5.98020155486559,61.3385973661736,2.64943417024394e-05,0.00243677103176607
"ENSG00000267683",-2.43951408116727,-1.38988452059174,45.540178288316,2.7035160299945e-05,0.00246170150806009
"ENSG00000013293",-2.85052810771424,3.53212254281823,60.9715867677231,2.7166778252898e-05,0.00246170150806009
"ENSG00000169750",1.47248705230961,1.81308877252272,60.9734441253391,2.71947954259792e-05,0.00246170150806009
"ENSG00000189184",-0.902864053838701,8.24737266135222,60.6816739078608,2.76504072805232e-05,0.00248983955401947
"ENSG00000185022",1.29372582280038,4.9263798272933,60.5228721859314,2.79401520256212e-05,0.0025028264306701
"ENSG00000146250",-2.7486030288681,3.89027473216165,60.3643431782304,2.82519638885756e-05,0.00251764521720006
"ENSG00000122966",-1.591836661991,3.77030746750891,60.2493889965418,2.84537245063238e-05,0.00252255467930033
"ENSG00000138074",1.20685874309033,4.35465952478242,59.5245861874556,2.98445415175802e-05,0.00263228856185057
