"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000110583",403.023058370914,-0.51743632869375,0.149246264529246,-3.46699684796703,0.000526308061636097,0.00565302466074469
"ENSG00000110628",247.644394072201,0.706251726797267,0.150147196789006,4.70372901992787,2.55452249295523e-06,5.7500222833554e-05
"ENSG00000110756",996.773036356035,1.59003109674058,0.169222163563317,9.39611610712951,5.66143651476525e-21,1.61841598502089e-18
"ENSG00000110768",1352.18049012469,0.374078456339315,0.100983141794186,3.70436539894672,0.000211920598473176,0.00262634545159821
"ENSG00000110880",7809.41398559313,0.311106396602838,0.114074203531571,2.72722830378331,0.00638688315562636,0.041106123784354
"ENSG00000110900",263.21881946812,-1.45609964056106,0.31287449543401,-4.65394163414057,3.25649018262319e-06,7.13350186620088e-05
"ENSG00000110906",2892.9955914245,0.517560004867349,0.145658540752831,3.5532417267972,0.000380514638141115,0.00433660270657568
"ENSG00000110911",1028.64263615101,0.328545428548888,0.0935987948815759,3.51014592617965,0.00044786083485744,0.00494500917753271
"ENSG00000110931",1161.8836197817,0.279101125336426,0.093006088232804,3.00089091627858,0.00269190979621557,0.0211505436668298
"ENSG00000110955",6515.56003877451,0.171041712838215,0.0616111909020534,2.77614683848799,0.00550073590219997,0.0366118052753333
"ENSG00000111110",18.0411264061302,-1.30337305482802,0.466064792003217,-2.79654905753753,0.0051651568821738,0.0349063135479993
"ENSG00000111203",275.093562308996,-0.449191030900585,0.134952328991814,-3.32851633059132,0.000873098861218421,0.00850391349666005
"ENSG00000111206",145.200687481957,-0.658152380708171,0.175212772300166,-3.75630367619922,0.000172441430461809,0.00221054963772866
"ENSG00000111224",247.370789814429,-0.446958332830178,0.143415557479049,-3.11652613347386,0.00182995460114131,0.0155537072937442
"ENSG00000111231",240.86729082807,0.744583111234587,0.13042530220879,5.70888545876343,1.1371838627536e-08,4.54661482842653e-07
"ENSG00000111321",3115.50562635267,0.270850682776202,0.0979930422569959,2.7639787125485,0.00571012643990644,0.0376989407727311
"ENSG00000111371",2471.50489446572,0.81953486820514,0.2088994934267,3.92310605814227,8.74146466755912e-05,0.00123596210265369
"ENSG00000111450",1139.24040445834,0.649822629272995,0.113223498194057,5.73929122167946,9.50736088962011e-09,3.8642240279328e-07
"ENSG00000111452",7932.90791230478,0.709272583127462,0.263646574934219,2.69024008107987,0.00714006314151105,0.0449747936111633
"ENSG00000111481",2051.28799700279,-0.244870443077251,0.0696849211032591,-3.5139659943706,0.000441469324790991,0.00490102385683824
"ENSG00000111602",177.691150339735,-0.48838661023028,0.163116050673741,-2.99410516753581,0.00275251050750739,0.0214444118843066
"ENSG00000111642",4544.92731695625,-0.437066602853075,0.112860587850334,-3.87262383776235,0.000107669937398007,0.0014774038130005
"ENSG00000111684",651.92384856842,0.463529633892323,0.12935513299555,3.58338801992704,0.000339166202015609,0.00393241628239232
"ENSG00000111726",523.183875098044,0.316398661878924,0.110918312569868,2.85253764277764,0.00433716752554723,0.0304881546713878
"ENSG00000111728",193.793107477906,-1.49581988988058,0.293331675571847,-5.09941480736608,3.40705170555836e-07,9.56428000879493e-06
"ENSG00000111737",1130.9152116611,0.403534528316964,0.127370466704998,3.16819541261154,0.00153388382207065,0.013505736815275
"ENSG00000111752",883.156700724831,-0.406045994048223,0.134840810108179,-3.0112989807942,0.00260132578503809,0.0206278039135337
"ENSG00000111801",769.98257241294,-0.755549254501944,0.143818995487096,-5.25347331166513,1.49257312370468e-07,4.52307671692274e-06
"ENSG00000111816",89.0012659800151,-1.13931315562457,0.225007108048945,-5.06345406375668,4.11727625758498e-07,1.11739750585597e-05
"ENSG00000111859",1774.90361849245,1.66562551685525,0.288071725006768,5.78198195888931,7.38256268586683e-09,3.08239501235664e-07
"ENSG00000111885",5718.74384687545,0.813343281452468,0.191383777938928,4.2498026228326,2.13958965913758e-05,0.000371816026682145
"ENSG00000111911",371.194165511195,-0.498177970411289,0.161979718357736,-3.07555770229858,0.00210109268792481,0.0173795789619376
"ENSG00000112062",1281.8680380263,0.302155387035262,0.075442552779938,4.00510555252065,6.19897945437138e-05,0.000918814762381863
"ENSG00000112078",2394.23803054883,0.574443191409162,0.134880123850408,4.25891654760237,2.05420136750983e-05,0.000359160671310179
"ENSG00000112137",44.4649653021853,-1.05011714262001,0.375239739322791,-2.79852327079003,0.00513368700821913,0.034782197420063
"ENSG00000112146",1336.90839261332,0.290774660758718,0.0855660785547608,3.39824689491441,0.000678191850187038,0.00692401584190956
"ENSG00000112218",58.6244483663907,1.42539274319571,0.453743724675406,3.14140486287803,0.00168139425252293,0.0145359245056821
"ENSG00000112276",436.670623741278,0.565973789158912,0.136378195282202,4.15003137406067,3.32429706152801e-05,0.00054045822937752
"ENSG00000112290",630.66726934091,0.53156233599535,0.119055565515602,4.46482559377444,8.01340009494364e-06,0.000157983722331578
"ENSG00000112297",329.616653467969,0.645439668581422,0.208795772344993,3.09124874192838,0.00199316587833514,0.0166116526458719
"ENSG00000112304",294.372810333612,-0.526534211492947,0.162183321447565,-3.24653735534193,0.00116818116505028,0.0109013293487173
"ENSG00000112320",310.492720025127,-0.90859958531315,0.247940470606544,-3.66458764513278,0.000247737395506424,0.00301147541298808
"ENSG00000112343",1078.74466501114,0.252873868479361,0.0853510127321865,2.96275182197106,0.00304902292938717,0.0232120911162222
"ENSG00000112531",2997.98371694145,0.236412613652172,0.0806447868982993,2.93153001880097,0.00337296766237069,0.0252097942858116
"ENSG00000112561",75.4134674691131,-0.800343632190803,0.273162674778254,-2.92991578311532,0.00339053880572308,0.0253175975601926
"ENSG00000112576",630.338703577489,0.938562373573532,0.134347073398842,6.98610211468605,2.82628401008356e-12,2.52481371567464e-10
"ENSG00000112658",1307.92124631798,0.937456365329943,0.146456420869993,6.40092363148834,1.54439811012528e-10,9.51776245521974e-09
"ENSG00000112715",1877.16394065403,-1.18614893841084,0.256308272950514,-4.6278215086715,3.69532285470463e-06,7.98264201560376e-05
"ENSG00000112773",517.691488391865,-1.19198679114991,0.133545774268536,-8.92567958573549,4.42971057179619e-19,9.49729946593103e-17
"ENSG00000112837",2759.93033551282,-1.80514912592645,0.197135741393569,-9.15688404936467,5.34174201750807e-20,1.30887941548998e-17
"ENSG00000112851",2686.58548124031,0.3823981719967,0.101290979239153,3.77524410237797,0.000159851050403022,0.00207552249546755
"ENSG00000112936",1961.95472365824,3.21295704618867,0.633245570892868,5.07379315998759,3.89962934766704e-07,1.06847352350136e-05
"ENSG00000112972",239.332853408017,-0.40294821357094,0.117564868574198,-3.42745429359817,0.000609268858981184,0.00633065658955209
"ENSG00000113119",136.577734259021,0.501950809951871,0.167638666901812,2.99424243361389,0.00275127239072953,0.0214444118843066
"ENSG00000113140",29941.9289791345,-0.536987257308692,0.0858755307637476,-6.25308807448305,4.02415041545609e-10,2.30843571658538e-08
"ENSG00000113389",2571.64308722441,0.939537606783222,0.345294460043562,2.72097503870955,0.00650896762402943,0.0418276046386891
"ENSG00000113441",1034.45772326159,0.525873013545936,0.170424149357863,3.08567192811206,0.00203092771510401,0.0168689937866654
"ENSG00000113456",946.38749542574,0.8286773877077,0.0886560364922323,9.34710619259757,9.0078491260532e-21,2.45242267000102e-18
"ENSG00000113460",389.167114780657,0.985539386511493,0.198836704226571,4.95652646398969,7.17645965102441e-07,1.84543682060526e-05
"ENSG00000113552",1602.39658733355,-0.58607510312017,0.140903003043349,-4.15942237185579,3.1905343097431e-05,0.000519696528781706
"ENSG00000113580",2816.71415208614,-0.998199099831792,0.170966210007887,-5.83857535232105,5.26490702328166e-09,2.29780369626786e-07
"ENSG00000113657",4744.68134327256,-0.606407174512003,0.112819493187666,-5.37502126076113,7.65736461573475e-08,2.5306188417935e-06
"ENSG00000113719",6825.2613850415,0.740784986006125,0.122046226661352,6.0697082267166,1.28142845805773e-09,6.4454724083889e-08
"ENSG00000113721",20425.2110230376,0.374563546827094,0.0989203927147679,3.78651495963152,0.000152774902543704,0.00199725238447379
"ENSG00000113810",718.89558217066,-0.488731423122309,0.132367068072273,-3.69224332184693,0.000222284640497549,0.00273306534323582
"ENSG00000113916",1690.83751550066,0.803687639059514,0.12833930461219,6.26220970643451,3.79560023976095e-10,2.19939646325608e-08
"ENSG00000114019",3395.42728659392,0.917072336003006,0.158160525446802,5.79836424678208,6.69648789974936e-09,2.84302377367577e-07
"ENSG00000114021",631.046500414571,0.48750375333163,0.0984555974461205,4.95150876107795,7.36403037791498e-07,1.89083606350296e-05
"ENSG00000114098",1011.81422044271,1.35567286113767,0.122253035486997,11.0890732139069,1.41748685500054e-28,9.00471649517379e-26
"ENSG00000114209",468.15778939445,0.414466868864338,0.103087539906049,4.02053312400383,5.80665835920189e-05,0.000870719197302164
"ENSG00000114270",1549.01755184597,1.22728488888863,0.181849007702464,6.74892266058816,1.48946952139885e-11,1.16124460141059e-09
"ENSG00000114423",668.396886767065,0.496909535821594,0.184500843668383,2.69326430135316,0.00707561540077305,0.044716637934436
"ENSG00000114450",1069.40851009029,0.931359773362443,0.138465483842485,6.7262955901843,1.74036844683747e-11,1.33860087893077e-09
"ENSG00000114626",1018.23000370843,0.579783527201961,0.157898052200606,3.67188523937811,0.000240767801282531,0.002935074148968
"ENSG00000114650",1572.15541982853,0.345893572621809,0.0810758785887037,4.26629447183077,1.9874641675663e-05,0.000348558132945779
"ENSG00000114670",184.690185868487,-1.25796241037134,0.190785080835995,-6.59360996603671,4.29258534262611e-11,3.08060350613904e-09
"ENSG00000114698",2228.07939215186,0.53340133017161,0.124851812776682,4.27227541442019,1.93488389490996e-05,0.000340380805799956
"ENSG00000114735",361.767727032172,-0.46378539154577,0.132630374575216,-3.49682637202198,0.000470828166899257,0.00515028362159187
